Element_Name                                           	L 	EBML_ID   	Ma	Mu	Rng  	Default           	T	1	2	3	4	W
				AlphaMode                              	4 	0x53C0    	-	-	-    	0                 	u	-	-	*	*	*
				OldStereoMode                          	4 	0x53B9    	-	-	-    	-                 	u	-	-	-	-	-
				PixelWidth                             	4 	0xB0      	*	-	not 0	-                 	u	*	*	*	*	*
				PixelHeight                            	4 	0xBA      	*	-	not 0	-                 	u	*	*	*	*	*
				PixelCropBottom                        	4 	0x54AA    	-	-	-    	0                 	u	*	*	*	*	*
				PixelCropTop                           	4 	0x54BB    	-	-	-    	0                 	u	*	*	*	*	*
				PixelCropLeft                          	4 	0x54CC    	-	-	-    	0                 	u	*	*	*	*	*
				PixelCropRight                         	4 	0x54DD    	-	-	-    	0                 	u	*	*	*	*	*
				DisplayWidth                           	4 	0x54B0    	-	-	not 0	PixelWidth        	u	*	*	*	*	*
				DisplayHeight                          	4 	0x54BA    	-	-	not 0	PixelHeight       	u	*	*	*	*	*
				DisplayUnit                            	4 	0x54B2    	-	-	-    	0                 	u	*	*	*	*	*
				AspectRatioType                        	4 	0x54B3    	-	-	-    	0                 	u	*	*	*	*	*
				ColourSpace                            	4 	0x2EB524  	-	-	-    	-                 	b	*	*	*	*	-
				GammaValue                             	4 	0x2FB523  	-	-	> 0  	-                 	f	-	-	-	-	-
				FrameRate                              	4 	0x2383E3  	-	-	> 0  	-                 	f	-	-	-	-	-
			Audio                                      	3 	0xE1      	-	-	-    	-                 	m	*	*	*	*	*
				SamplingFrequency                      	4 	0xB5      	*	-	> 0  	8000.0            	f	*	*	*	*	*
				OutputSamplingFrequency                	4 	0x78B5    	-	-	> 0  	Sampling Frequency	f	*	*	*	*	*
				Channels                               	4 	0x9F      	*	-	not 0	1                 	u	*	*	*	*	*
				ChannelPositions                       	4 	0x7D7B    	-	-	-    	-                 	b	-	-	-	-	-
				BitDepth                               	4 	0x6264    	-	-	not 0	-                 	u	*	*	*	*	*
			TrackOperation                             	3 	0xE2      	-	-	-    	-                 	m	-	-	*	*	-
				TrackCombinePlanes                     	4 	0xE3      	-	-	-    	-                 	m	-	-	*	*	-
